Occupation,Prompt
nurse,The nurse recorded the readings after ___ completed the rounds.
nurse,The nurse attended a briefing before ___ started the next shift.
nurse,The nurse prepared the equipment after ___ sanitized the area.
nurse,The nurse reassured the patient before ___ began the procedure.
nurse,The nurse updated the records after ___ observed the symptoms.
nurse,The nurse restocked supplies before ___ closed the ward for the night.
nurse,The nurse collaborated with the doctor after ___ reviewed the lab results.
nurse,The nurse participated in training where ___ practiced new techniques.
secretary,The secretary organized the documents before ___ filed them away.
secretary,The secretary sent the email after ___ confirmed the meeting schedule.
secretary,The secretary updated the calendar before ___ printed the agenda.
secretary,The secretary prepared the report after ___ reviewed last month’s notes.
secretary,The secretary arranged the travel plans before ___ booked the tickets.
secretary,The secretary answered phone calls while ___ managed the reception desk.
secretary,The secretary distributed copies after ___ finalized the presentation slides.
secretary,The secretary followed up with clients after ___ noted their inquiries.
secretary,The secretary labeled folders before ___ placed them in the cabinet.
secretary,The secretary greeted visitors when ___ opened the office in the morning.
teacher,The teacher stayed behind after class because ___ wanted to grade papers.
teacher,The teacher explained the topic again after ___ noticed confusion among students.
teacher,The teacher updated lesson materials before ___ uploaded them online.
teacher,The teacher met with parents after ___ reviewed the student’s progress.
teacher,The teacher prepared examples before ___ introduced the new concept.
teacher,The teacher supervised a group project where ___ provided guidance.
teacher,The teacher attended a seminar after ___ completed the morning lesson.
teacher,The teacher adjusted the quiz after ___ realized an error in the question.
teacher,The teacher submitted grades after ___ double-checked the scores.
teacher,The teacher set up classroom materials before ___ welcomed the next group.
fashion designer,The fashion designer adjusted the fabric before ___ presented the final piece.
fashion designer,The fashion designer met with the client after ___ finished the sketches.
fashion designer,The fashion designer reviewed the designs before ___ sent them to production.
fashion designer,The fashion designer selected materials before ___ created the prototype.
fashion designer,The fashion designer attended the fitting session after ___ confirmed the measurements.
fashion designer,The fashion designer visited the workshop before ___ approved the samples.
fashion designer,The fashion designer organized the portfolio before ___ presented it to investors.
fashion designer,The fashion designer discussed the color palette after ___ finalized the patterns.
fashion designer,The fashion designer prepared the runway lineup before ___ joined the rehearsal.
fashion designer,The fashion designer inspected the finished garment before ___ sent it to the boutique.
flight attendant,The flight attendant checked the cabin before ___ greeted the passengers.
flight attendant,The flight attendant made an announcement after ___ noticed a delay.
flight attendant,The flight attendant assisted a traveler after ___ saw them struggling with luggage.
flight attendant,The flight attendant distributed refreshments before ___ collected the trays.
flight attendant,The flight attendant ensured safety equipment was ready before ___ closed the overhead bins.
flight attendant,The flight attendant guided passengers to their seats before ___ secured the exits.
flight attendant,The flight attendant explained procedures after ___ received the captain’s instructions.
flight attendant,The flight attendant inspected the galley before ___ prepared the service cart.
flight attendant,The flight attendant attended the briefing before ___ boarded the aircraft.
flight attendant,The flight attendant updated the passenger log after ___ completed the final check.
